student_id,minutes_watched,certificates_issued
270824,215.27,1
233619,1523.60,6
267010,1174.67,3
255058,731.73,2
44965,319.33,1
172535,604.27,3
266766,1233.13,2
172792,429.65,1
270911,138.30,1
260910,529.83,2
261905,2220.75,4
244031,369.02,1
268863,517.40,2
160595,675.05,2
150745,1286.85,2
259011,621.98,3
271348,890.82,3
175038,978.78,4
270599,2619.62,10
236361,456.70,1
255827,1054.35,6
260608,638.90,1
185851,2785.42,6
7382,1019.08,1
195307,324.32,1
253682,493.32,1
266477,69.85,2
39563,599.22,5
267843,56.88,2
244886,556.72,3
265005,525.83,1
271338,492.02,1
161173,319.90,1
269492,588.65,1
265966,853.88,2
158724,1431.57,5
205950,902.73,1
166145,533.25,1
271015,2044.02,2
266001,1749.95,3
230140,608.90,2
254931,239.85,1
270393,700.20,2
253827,968.85,2
165026,434.53,3
170879,1262.87,7
271543,951.15,2
157976,442.73,2
184826,512.98,2
20710,2222.05,8
261171,728.08,4
252678,1582.23,5
270957,1320.95,2
263368,387.03,1
5827,953.23,6
216478,291.98,2
216394,2086.00,3
236797,628.10,1
266811,154.07,1
265092,1480.15,6
207559,66.25,1
176391,405.53,1
272001,1298.62,2
227678,772.90,2
272255,713.95,2
232131,595.08,2
271991,1079.05,3
272199,728.87,1
171900,3448.22,6
269744,907.43,1
254858,257.50,1
255668,733.63,4
269872,701.03,4
196681,543.08,1
4739,3273.48,4
152109,1411.30,1
260345,1387.15,3
149323,172.97,1
147878,2938.07,7
272543,172.00,1
74498,163.85,1
1046,2305.95,1
1852,806.20,1
268990,1551.58,2
255186,404.53,3
254466,130.58,1
269898,471.55,1
16668,535.67,1
228262,445.60,2
142814,162.32,1
272437,789.95,2
272510,357.87,1
270671,419.37,2
264049,368.17,1
213109,281.95,3
270738,1342.07,1
255282,657.80,2
254914,1020.10,4
259767,1997.07,3
250629,76.17,2
272157,379.13,1
145310,41.42,1
197505,719.43,10
268800,753.90,3
269314,1675.65,4
272463,364.70,1
264404,518.60,1
254813,601.65,2
269518,1662.82,9
272965,2342.55,8
161537,91.05,1
146149,938.25,3
271154,2510.02,6
260980,817.02,4
271800,2011.07,2
152896,687.78,1
265789,251.82,1
272035,2081.60,1
256969,454.68,1
263706,148.88,1
267936,2542.98,1
254972,173.57,1
172218,154.38,1
260173,1378.07,3
254431,1426.67,6
2811,3192.95,2
271872,391.67,1
257130,137.18,1
265686,132.82,1
269054,778.33,2
176531,656.23,5
260616,1253.08,5
273371,168.53,2
272569,187.83,1
29758,692.83,3
2003,1028.78,3
271300,829.83,1
272838,201.48,1
266529,1179.80,4
3577,329.90,2
4595,869.15,1
1540,675.60,2
156587,353.38,2
267765,428.73,2
273654,333.50,1
270460,936.02,1
272717,2416.55,4
264295,2376.15,3
272918,347.35,1
148089,7.30,1
255220,1096.63,2
254860,289.70,1
273249,395.93,1
255169,367.25,3
233988,289.40,1
257112,265.60,2
273423,5334.78,18
1200,329.40,2
261813,427.45,2
147132,357.92,1
272842,6163.18,1
194507,1316.05,6
1619,1490.73,6
17613,223.83,1
10422,871.98,6
270619,344.35,2
271519,1571.22,3
272504,335.05,1
273060,974.52,1
254378,274.42,1
272596,1042.13,2
251774,504.37,1
258337,675.45,2
263494,798.05,1
274209,1029.22,1
15743,87.13,1
190625,1031.02,1
171339,535.28,1
157698,778.37,2
254558,757.53,2
969,642.40,1
156767,164.83,1
153765,1021.63,3
183819,229.77,1
256670,1528.85,6
268408,240.90,1
252339,2260.82,4
264916,779.43,4
259483,75.43,1
270367,341.50,1
264425,835.77,2
274269,212.87,2
257151,916.03,1
269541,1504.12,5
151694,3491.48,1
274382,626.35,3
253264,898.42,1
274838,82.53,1
274564,1862.78,4
1521,776.92,3
6053,986.13,3
238879,52.37,1
258044,1095.57,1
219561,602.88,2
274039,1160.60,7
274908,458.45,1
262412,687.73,2
274798,629.15,1
226169,802.75,2
261189,405.08,2
270833,506.48,2
242454,841.87,6
261647,914.22,1
273803,297.75,1
6,148.12,1
272882,327.03,1
274630,178.63,1
274904,430.45,2
145177,918.17,1
275020,1193.27,6
157277,1884.22,2
272909,4111.93,8
2737,680.57,1
182880,492.43,1
275129,1416.27,3
4723,700.55,2
158129,119.02,1
271140,702.82,2
235996,370.53,1
153741,917.05,1
172289,388.40,1
275021,210.47,3
862,1145.65,1
275273,234.17,1
254601,386.55,3
166734,370.38,1
255187,53.33,1
53781,0.05,3
246267,3711.67,12
275277,528.00,1
274050,3073.05,10
255296,589.55,1
156510,234.02,1
259959,334.90,2
254868,97.12,1
274861,1171.38,3
146855,373.40,4
275442,1505.03,4
161496,688.05,1
275449,772.07,3
274996,760.40,3
274929,815.87,2
190825,631.10,2
159060,176.52,1
274576,1203.13,5
252008,927.18,3
275470,1443.37,7
275788,385.58,3
274273,601.33,2
268926,2070.15,11
272261,485.12,1
161693,358.42,1
156498,1126.25,1
276395,146.78,1
267885,443.63,1
265176,57.82,1
268011,2544.77,7
275132,574.78,3
5080,1892.32,2
274836,89.18,1
276455,1248.85,4
265588,1465.75,4
275282,941.87,5
209256,605.73,2
274906,1482.15,7
275590,637.63,3
265130,118.85,1
12279,200.98,1
143701,1023.33,1
41336,1463.23,2
217155,1157.15,5
275275,324.93,1
161060,321.70,4
276232,301.60,1
272696,202.80,1
276135,1138.93,3
274572,725.83,1
266332,705.80,3
270633,692.10,2
269670,218.13,1
2073,467.53,2
264623,220.98,1
276490,1165.85,1
273841,1047.52,1
236628,856.90,2
276265,280.65,1
274162,847.95,1
274163,737.02,1
204116,714.25,1
255275,723.55,3
272570,325.38,1
276439,1518.10,6
275799,324.60,1
147687,3761.35,1
275165,657.27,2
30206,483.10,1
147087,1221.50,1
198179,570.30,2
1221,227.30,1
217601,349.78,2
276784,550.53,1
145013,697.02,1
262641,542.63,1
274825,1147.78,1
153103,1209.37,1
208957,180.35,1
277099,187.37,1
272865,846.07,2
17419,702.63,2
157285,277.12,1
264954,681.85,1
165374,246.98,1
275103,169.48,1
274814,823.72,2
259884,1119.37,2
275008,173.43,1
275293,104.57,1
2091,2655.62,1
156276,597.68,2
277410,146.98,1
154291,371.37,1
248305,558.08,1
277398,536.78,1
12532,481.90,1
841,1623.63,3
148628,402.03,1
276783,698.83,3
247618,581.00,1
275574,419.92,1
275552,302.38,1
176012,222.83,1
171827,284.02,1
159873,1347.23,10
277285,992.13,1
276887,449.72,1
271185,1506.78,1
7086,1399.13,1
256448,2073.87,5
277066,833.42,2
115019,638.15,2
145561,197.20,1
155427,1523.08,1
185208,1019.33,1
277791,488.25,1
143709,1462.22,3
275286,269.18,1
270930,397.17,1
277084,939.48,3
268154,310.57,1
274070,1262.57,2
229699,388.65,3
277825,338.32,1
190610,312.83,1
243847,528.17,1
149042,489.53,1
277864,288.53,1
277590,458.07,2
263456,262.45,1
277557,1308.02,2
159186,1421.55,2
161210,805.45,5
273992,356.48,2
215160,388.98,2
277964,308.62,1
7540,518.17,1
225789,442.57,2
171439,29.77,1
278509,662.55,1
6159,253.15,2
1567,1286.92,1
278177,200.88,1
156057,967.88,1
262112,1574.37,2
278326,271.53,1
149601,126.27,2
155640,798.45,2
260833,118.33,1
144348,863.88,1
278283,1054.88,2
188507,225.77,1
261593,270.42,1
1652,1355.32,2
225394,341.80,1
278758,225.93,1
269020,125.78,1
278582,396.08,2
271837,236.60,1
278927,383.85,2
278753,636.97,1
278882,174.78,1
267026,429.58,1
269540,374.35,1
261819,37.43,1
9372,316.70,1
159548,569.87,3
275038,715.03,4
278881,490.33,2
911,917.42,2
8544,418.45,1
274087,190.00,1
261337,571.67,1
3338,1004.58,1
277508,991.05,4
260861,194.03,1
227874,395.87,2
270247,512.52,1
263579,346.18,1
266012,1258.25,1
261393,412.78,1
255449,138.53,1
271664,536.60,1
148886,2067.28,1
159457,917.82,1
274611,152.23,1
169966,469.45,1
8641,109.55,1
279468,160.08,1
265653,181.82,1
172793,876.17,3
3423,1082.13,1
34121,450.67,1
268516,1269.25,1
274880,58.73,1
181620,1199.13,1
238800,366.67,1
265808,486.98,1
182808,365.07,1
279738,158.07,1
278055,222.32,1
279766,132.80,1
